ten_thiet_bi,nhom_thiet_bi,ma_noi_bo,ma_nha_sx,loai_holder,so_serial,nha_san_xuat,nha_cung_cap,nguoi_quan_ly,trang_thai_tai_san,chuan_ga,loai_kep,chieu_dai_lam_viec,duong_kinh_kep_max,tu,ngan,may_uu_tien,ngay_nhap_kho,gia_tri_mua,chu_ky_kiem_tra,lan_kiem_tra_gan_nhat,so_lan_ga_thao,danh_gia_gan_nhat,cv,dx,mon,tan_suat,ld,ket_luan_fuzzy,tool_khuyen_dung_codes
BT40 ER20 khoan Φ5-10,Mũi khoan,HLD-DRL-BT40-ER20-01,BT4-01,BT40-ER20,HLD-DRL-BT40-ER20-01-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,BT40,Kẹp collet ER20,80,10,T1,N1,CNC-01,2025-01-05,350000,6,2025-06-01,10,Tốt,4,8,C45,3,Ca ngày,Ưu tiên cao,"DRL-HSS-8-C45-BASIC,DRL-CBD-8-C45-STD"
BT40 ER16 khoan Φ3-8,Mũi khoan,HLD-DRL-BT40-ER16-02,BT4-01,BT40-ER16,HLD-DRL-BT40-ER16-02-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,BT40,Kẹp collet ER16,75,8,T1,N2,CNC-01,2025-02-10,320000,6,2025-07-01,8,Tốt,4,6,C45,2,Ca ngày,Ưu tiên cao,DRL-CBD-8-C45-PREMIUM
BT30 ER16 khoan nhỏ Φ3-6,Mũi khoan,HLD-DRL-BT30-ER16-03,BT3-01,BT30-ER16,HLD-DRL-BT30-ER16-03-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,BT30,Kẹp collet ER16,70,6,T1,N3,CNC-02,2025-03-01,280000,12,2025-09-01,5,Khá,3,6,Thép mềm,2,Ca ngày,Ưu tiên trung bình,"DRL-HSS-05-GEN,DRL-HSS-06-GEN"
BT40 ER20 khoan trung Φ6-8,Mũi khoan,HLD-DRL-BT40-ER20-04,BT4-01,BT40-ER20,HLD-DRL-BT40-ER20-04-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,BT40,Kẹp collet ER20,85,8,T2,N1,CNC-02,2025-01-20,360000,12,2025-08-01,7,Khá,3,7,Thép mềm,3,Ca đêm,Ưu tiên trung bình,"DRL-HSS-07-GEN,DRL-HSS-08-GEN"
BT40 ER32 khoan lớn Φ8-12,Mũi khoan,HLD-DRL-BT40-ER32-05,BT4-01,BT40-ER32,HLD-DRL-BT40-ER32-05-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,BT40,Kẹp collet ER32,90,12,T2,N2,CNC-03,2025-04-01,400000,12,2025-10-01,4,TB,3,8,Thép mềm,1,Ca ngày,Ít dùng,"DRL-HSS-09-GEN,DRL-HSS-10-GEN"
BT40 endmill Φ10-16,Dao phay ngón,HLD-MILL-BT40-EM10-06,BT4-01,BT40-EM,HLD-MILL-BT40-EM10-06-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,BT40,Kẹp endmill Weldon,70,16,T3,N1,CNC-01,2025-01-15,450000,6,2025-06-15,9,Tốt,5,10,S50C,3,Ca ngày,Ưu tiên cao,EM-HSS-10-S50C-BASIC
HSK63A endmill Φ10,Dao phay ngón,HLD-MILL-HSK63-EM10-07,HSK-01,HSK63-EM,HLD-MILL-HSK63-EM10-07-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,HSK63A,Kẹp endmill collet,80,12,T3,N2,CNC-04,2025-02-05,650000,6,2025-07-10,6,Tốt,5,9,"S50C, SCM440",3,Ca ngày,Ưu tiên cao,EM-CBD-10-S50C-STD
BT40 endmill hoàn thiện,Dao phay ngón,HLD-MILL-BT40-EMFIN-08,BT4-01,BT40-EM-FIN,HLD-MILL-BT40-EMFIN-08-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,BT40,Kẹp endmill siêu kẹp,75,12,T3,N3,CNC-04,2025-03-10,800000,12,2025-09-10,5,Rất tốt,5,8,"S50C, SKD11",2,Ca đêm,Ưu tiên cao,EM-CBD-10-S50C-FINISH
BT30 endmill đa dụng,Dao phay ngón,HLD-MILL-BT30-EM-MIX-09,BT3-01,BT30-EM,HLD-MILL-BT30-EM-MIX-09-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,BT30,Kẹp endmill,65,10,T4,N1,CNC-02,2025-01-25,380000,12,2025-07-25,8,Khá,4,7,S50C,2,Ca ngày,Ưu tiên trung bình,"EM-HSS-10-S50C-BASIC,EM-CBD-10-S50C-STD"
BT40 endmill carbide chính,Dao phay ngón,HLD-MILL-BT40-EMC-10,BT4-01,BT40-EMC,HLD-MILL-BT40-EMC-10-SN001,TMS Holder,TMS Supplier,Phuc,Đang sử dụng,BT40,Kẹp endmill,75,12,T4,N2,CNC-03,2025-04-05,720000,12,2025-10-05,6,Khá,4,9,"S50C, SCM440",3,Ca ngày,Ưu tiên trung bình,"EM-CBD-10-S50C-STD,EM-CBD-10-S50C-FINISH"
